task,row,col,x,y_coord,label,confidence,dem,slope,aspect,twi_proxy,2012_ndvi_point,2013_ndvi_point,2014_ndvi_point,ndvi_time_mean,ndvi_time_min,ndvi_time_max,ndvi_time_std,ndvi_time_range
subtype,168,3804,121.92384193712206,51.82830031727579,0,1.0,693.0,10.655965,112.02568,1.6704781,8028.0,7579.0,8132.0,7913.0,7579.0,8132.0,239.95972,553.0
subtype,168,3884,122.64249416441767,51.82830031727579,0,1.0,1064.0,7.3844686,37.274178,2.0432818,7335.0,7013.0,7856.0,7401.3335,7013.0,7856.0,347.33493,843.0
subtype,169,3838,122.22926913372268,51.8193171644346,0,1.0,787.0,4.654669,0.0,2.5081406,7651.0,7629.0,8008.0,7762.6665,7629.0,8008.0,173.70921,379.0
subtype,170,3640,120.45060487116604,51.810334011593405,0,1.0,762.0,3.434774,144.48004,2.8130603,8134.0,7605.0,8052.0,7930.3335,7605.0,8134.0,232.46838,529.0
subtype,171,3813,122.00469031269282,51.80135085875221,0,1.0,1179.0,14.728871,264.07437,1.3360395,7500.0,7631.0,8033.0,7721.3335,7500.0,8033.0,226.77791,533.0
subtype,173,3828,122.13943760531075,51.783384553069816,0,1.0,793.0,28.496004,321.25064,0.610892,7518.0,7370.0,7930.0,7606.0,7370.0,7930.0,236.936,560.0
subtype,173,3839,122.23825228656389,51.783384553069816,0,1.0,863.0,6.231603,134.10136,2.2146301,7198.0,7428.0,8017.0,7547.6665,7198.0,8017.0,344.89645,819.0
subtype,174,3711,121.0884087228909,51.77440140022862,0,1.0,709.0,6.595917,217.06032,2.1573362,7995.0,7385.0,7899.0,7759.6665,7385.0,7995.0,267.81253,610.0
subtype,174,3772,121.63638104620381,51.77440140022862,0,1.0,1023.0,9.685902,314.3978,1.7679596,7353.0,7619.0,7866.0,7612.6665,7353.0,7866.0,209.47923,513.0
subtype,174,3894,122.73232569282962,51.77440140022862,0,1.0,1196.0,6.6088634,304.20682,2.1553578,7180.0,7367.0,7904.0,7483.6665,7180.0,7904.0,306.8684,724.0
subtype,175,3809,121.96875770132803,51.76541824738743,0,1.0,942.0,14.8849745,100.59058,1.3250126,7808.0,7574.0,7994.0,7792.0,7574.0,7994.0,171.83713,420.0
subtype,176,3623,120.29789127286571,51.756435094546234,0,1.0,522.0,15.391024,108.390205,1.2899725,8118.0,7950.0,8073.0,8047.0,7950.0,8118.0,71.00704,168.0
subtype,176,3701,120.99857719447894,51.756435094546234,0,1.0,752.0,8.302408,287.31155,1.9246409,7987.0,7479.0,7846.0,7770.6665,7479.0,7987.0,214.12198,508.0
subtype,177,1419,100.49902241087146,51.74745194170504,3,0.9823013,2907.0,17.462181,94.94929,1.1565351,5582.0,5249.0,4711.0,5180.6665,4711.0,5582.0,358.8522,871.0
subtype,177,3678,120.79196467913145,51.74745194170504,0,1.0,921.0,18.13818,208.57738,1.1159952,7827.0,7439.0,8073.0,7779.6665,7439.0,8073.0,260.98444,634.0
subtype,177,3730,121.2590886268736,51.74745194170504,0,1.0,939.0,9.663616,171.17741,1.7703074,7984.0,7706.0,8085.0,7925.0,7706.0,8085.0,160.25188,379.0
subtype,177,3808,121.95977454848683,51.74745194170504,0,1.0,916.0,13.918897,138.13101,1.3950284,7753.0,7384.0,7801.0,7646.0,7384.0,7801.0,186.29547,417.0
subtype,178,3777,121.68129681040978,51.73846878886384,0,1.0,903.0,11.888206,251.97678,1.558179,7641.0,7555.0,8017.0,7737.6665,7555.0,8017.0,200.61461,462.0
subtype,178,3785,121.75316203313935,51.73846878886384,0,1.0,731.0,6.9563365,339.10342,2.1036353,7602.0,7645.0,8089.0,7778.6665,7602.0,8089.0,220.13985,487.0
subtype,182,3719,121.16027394562046,51.70253617749906,0,1.0,862.0,9.45367,167.94089,1.7926852,7598.0,7566.0,8056.0,7740.0,7566.0,8056.0,223.82732,490.0
subtype,183,3824,122.10350499394596,51.69355302465787,0,1.0,1100.0,18.747868,307.4232,1.0805354,7724.0,7527.0,8083.0,7778.0,7527.0,8083.0,230.1753,556.0
subtype,184,3638,120.43263856548364,51.68456987181667,0,1.0,844.0,3.3041663,228.84293,2.851916,7950.0,7598.0,7932.0,7826.6665,7598.0,7950.0,161.85866,352.0
subtype,186,3745,121.39383591949154,51.66660356613428,0,1.0,1104.0,14.820831,127.981514,1.3295307,7562.0,7681.0,8137.0,7793.3335,7562.0,8137.0,247.81758,575.0
subtype,186,3815,122.02265661837521,51.66660356613428,0,1.0,998.0,15.675887,201.81366,1.270703,7896.0,7545.0,8062.0,7834.3335,7545.0,8062.0,215.52159,517.0
subtype,187,3698,120.97162773595537,51.65762041329308,0,1.0,676.0,11.366122,2.4771547,1.6043453,8078.0,7427.0,8006.0,7837.0,7427.0,8078.0,291.40005,651.0
subtype,187,3855,122.381982732023,51.65762041329308,0,1.0,988.0,5.3220534,40.7581,2.373475,7592.0,7277.0,7526.0,7465.0,7277.0,7592.0,135.63922,315.0
subtype,187,3891,122.70537623430604,51.65762041329308,0,1.0,1030.0,9.072628,125.29983,1.8345515,7209.0,7395.0,7314.0,7306.0,7209.0,7395.0,76.1446,186.0
subtype,188,3784,121.74417888029815,51.64863726045189,0,1.0,788.0,11.778654,73.36141,1.5677055,7698.0,7384.0,8008.0,7696.6665,7384.0,8008.0,254.74869,624.0
subtype,189,3825,122.11248814678714,51.639654107610696,0,1.0,1168.0,5.595384,102.803955,2.3230886,7621.0,7421.0,8153.0,7731.6665,7421.0,8153.0,308.9135,732.0
subtype,189,3865,122.47181426043497,51.639654107610696,0,1.0,1244.0,2.3882523,141.3395,3.1770618,7078.0,7087.0,7676.0,7280.3335,7078.0,7676.0,279.8027,598.0
subtype,190,3802,121.90587563143967,51.6306709547695,0,1.0,776.0,2.345539,122.00984,3.1951284,7745.0,7667.0,8244.0,7885.3335,7667.0,8244.0,255.6069,577.0
subtype,191,3756,121.49265060074468,51.6216878019283,0,1.0,969.0,13.050923,249.43697,1.4618565,8033.0,7491.0,7910.0,7811.3335,7491.0,8033.0,232.0091,542.0
subtype,191,3763,121.55553267063306,51.6216878019283,0,1.0,837.0,2.6775331,201.79408,3.0625813,7838.0,7491.0,8091.0,7806.6665,7491.0,8091.0,245.94896,600.0
subtype,191,3765,121.57349897631545,51.6216878019283,0,1.0,813.0,1.6162376,247.37259,3.567825,7838.0,7491.0,8091.0,7806.6665,7491.0,8091.0,245.94896,600.0
subtype,192,3640,120.45060487116604,51.61270464908711,0,1.0,863.0,4.0842304,46.83134,2.6393838,8046.0,7695.0,7834.0,7858.3335,7695.0,8046.0,144.32448,351.0
subtype,192,3790,121.79807779734531,51.61270464908711,0,1.0,757.0,3.445145,154.3717,2.8100383,7880.0,7563.0,7938.0,7793.6665,7563.0,7938.0,164.81572,375.0
